category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (SECONDARY),NEW TOWN SECONDARY SCHOOL,SECONDARY,NA,1020 DOVER ROAD,139657,Singapore,1.31004,103.77318
EDUCATION (SECONDARY),NGEE ANN SECONDARY SCHOOL,SECONDARY,NA,1 TAMPINES STREET 32,529283,Singapore,1.35429,103.95682
EDUCATION (SECONDARY),NORTHBROOKS SECONDARY SCHOOL,SECONDARY,NA,585 YISHUN RING ROAD,768692,Singapore,1.42121,103.84516
EDUCATION (SECONDARY),NORTHLAND SECONDARY SCHOOL,SECONDARY,NA,3 YISHUN STREET 22,768578,Singapore,1.43583,103.84019
EDUCATION (SECONDARY),NORTH VIEW SECONDARY SCHOOL,SECONDARY,NA,530 YISHUN RING ROAD,768680,Singapore,1.42791,103.84471
EDUCATION (SECONDARY),NORTH VISTA SECONDARY SCHOOL,SECONDARY,NA,11 RIVERVALE LINK,545081,Singapore,1.38121,103.89908
EDUCATION (SECONDARY),ORCHID PARK SECONDARY SCHOOL,SECONDARY,NA,10 YISHUN STREET 81,768454,Singapore,1.4156,103.83809
EDUCATION (SECONDARY),OUTRAM SECONDARY SCHOOL,SECONDARY,NA,3 YORK HILL,168622,Singapore,1.28651,103.83709
EDUCATION (SECONDARY),PASIR RIS CREST SECONDARY SCHOOL,SECONDARY,NA,11 PASIR RIS STREET 41,518934,Singapore,1.37287,103.95948
EDUCATION (SECONDARY),PASIR RIS SECONDARY SCHOOL,SECONDARY,NA,390 TAMPINES STREET 21,529400,Singapore,1.35476,103.94853
EDUCATION (SECONDARY),PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY,NA,296 LOR AH SOO,536742,Singapore,1.35081,103.88554
EDUCATION (SECONDARY),PEICAI SECONDARY SCHOOL,SECONDARY,NA,10 SERANGOON AVENUE 4,556094,Singapore,1.35937,103.87049
EDUCATION (SECONDARY),PEI HWA SECONDARY SCHOOL,SECONDARY,NA,21 FERNVALE LINK,797702,Singapore,1.39065,103.87846
EDUCATION (SECONDARY),PEIRCE SECONDARY SCHOOL,SECONDARY,NA,10 SIN MING WALK,575566,Singapore,1.36628,103.82981
EDUCATION (SECONDARY),PING YI SECONDARY SCHOOL,SECONDARY,NA,61 CHAI CHEE STREET,468980,Singapore,1.32667,103.92066
EDUCATION (SECONDARY),PIONEER SECONDARY SCHOOL,SECONDARY,NA,21 JURONG WEST STREET 81,649075,Singapore,1.34746,103.69509
EDUCATION (SECONDARY),PRESBYTERIAN HIGH SCHOOL,SECONDARY,NA,5209 ANG MO KIO AVENUE 6,569845,Singapore,1.38225,103.8431
EDUCATION (SECONDARY),PUNGGOL SECONDARY SCHOOL,SECONDARY,NA,51 EDGEFIELD PLAINS,828870,Singapore,1.40269,103.90914
EDUCATION (SECONDARY),QUEENSTOWN SECONDARY SCHOOL,SECONDARY,NA,1 STRATHMORE ROAD,148800,Singapore,1.29376,103.8132
EDUCATION (SECONDARY),QUEENSWAY SECONDARY SCHOOL,SECONDARY,NA,2A MARGARET DRIVE,149295,Singapore,1.30047,103.80209
EDUCATION (SECONDARY),RAFFLES GIRLS' SCHOOL (SECONDARY),SECONDARY,NA,20 ANDERSON ROAD,259978,Singapore,1.31167,103.82874
EDUCATION (SECONDARY),REGENT SECONDARY SCHOOL,SECONDARY,NA,50 CHOA CHU KANG NORTH 5,689621,Singapore,1.39361,103.751
EDUCATION (SECONDARY),RIVERSIDE SECONDARY SCHOOL,SECONDARY,NA,3 WOODLANDS STREET 81,738524,Singapore,1.44048,103.78859
EDUCATION (SECONDARY),RIVER VALLEY HIGH SCHOOL,SECONDARY,NA,6 BOON LAY AVENUE,649961,Singapore,1.34317,103.70949
